video_id,title,published_at,duration_raw,duration_sec,view_count,like_count,comment_count,category_id,category_name,channel_id,channel_title,hour,weekday,is_weekend,is_short,like_view_ratio,comment_view_ratio,n_positive,n_negative,n_neutral,n_comments_sampled,ratio_positive,ratio_negative,ratio_neutral
q7gs41kbc3A,ASMR RAINBOW EMOJI FOOD 🌈 알록달록 무지개 🌈 이모지 먹방 (sped up),2024-09-14 13:35:00+00:00,PT53S,53.0,194327502,3688777.0,16574.0,22,People & Blogs,UCDtz84R5bn4fY8AgHuouojg,당비 Dangbee EATING,13,5,1,1,0.018982269426794773,8.52890086550899e-05,63,2,435,500,0.126,0.004,0.87
GV31ZU_OQOs,Dad reflexes kicked in 💪,2024-06-26 15:00:23+00:00,PT10S,10.0,193050156,2358453.0,18913.0,17,Sports,UCvHm-lDQEhRJNCd8BdpzDkQ,ESPN MLB,15,2,0,1,0.012216788884646123,9.796935880227935e-05,161,9,330,500,0.322,0.018,0.66
n6B5gQXlB-0,LE SSERAFIM (르세라핌) 'CRAZY' OFFICIAL MV,2024-08-30 03:58:08+00:00,PT2M50S,170.0,184782284,1707840.0,71232.0,10,Music,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,3,4,0,0,0.009242444475900082,0.0003854915009060068,90,14,396,500,0.18,0.028,0.792
UxXY_hR_wzo,LISA - NEW WOMAN feat. Rosalía (Official Music Video),2024-08-16 00:00:08+00:00,PT3M12S,192.0,182993037,3477261.0,194941.0,10,Music,UC6-BgjsBa5R3PZQ_kZ8hKPg,LLOUD Official,0,4,0,0,0.019002149245711464,0.0010652918996038084,138,5,357,500,0.276,0.01,0.714
_aVx9XD8lc0,Canción Lávate las Manos | Hábitos Saludables | Hokie Pokie Canciones Infantiles | Short | #2,2024-08-20 12:15:02+00:00,PT22S,22.0,181899313,1389289.0,0.0,10,Music,UCJWrrSxl4ynnDjMj_ZctdDQ,Hokie Pokie Español,12,1,0,1,0.007637681402348122,0.0,0,0,0,0,0.0,0.0,0.0
Y5vhf9pOuj4,Only Legends will get the end 😎#nostalgia #90s #friends #relatable #explore #shorts,2024-07-04 13:45:01+00:00,PT1M,60.0,173743033,2771434.0,4337.0,23,Comedy,UCQPTbtadNWcPYuoS3JqkpYw,Baccha Mat Bolna,13,3,0,1,0.015951338894837873,2.4962152007557047e-05,31,8,461,500,0.062,0.016,0.922
KNexS61fjus,LE SSERAFIM (르세라핌) 'Smart' OFFICIAL MV,2024-03-05 14:58:08+00:00,PT3M14S,194.0,171580985,1749124.0,33128.0,10,Music,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,14,1,0,0,0.010194159918128456,0.00019307500769971683,124,6,370,500,0.248,0.012,0.74
V1p33hqPrUk,🔴東森新聞 51 頻道 24 小時直播｜Taiwan EBC 24h live news｜台湾 EBC ニュース24 時間オンライン放送｜대만 뉴스 생방송,2024-06-24 20:17:40+00:00,P0D,,170246377,68728.0,0.0,25,News & Politics,UCR3asjvr_WAaxwJYEDV_Bfw,東森新聞 CH51,20,0,0,0,0.00040369728396628376,0.0,0,0,0,0,0.0,0.0,0.0
k61obUp41CE,Minecraft moment,2024-07-30 23:27:37+00:00,PT59S,59.0,163420722,4234937.0,10534.0,20,Gaming,UCmUKewwuQJY2k2sw6lLTZmA,Daquavis,23,1,0,1,0.02591432070652582,6.445938967274909e-05,26,4,470,500,0.052,0.008,0.94
cxhqqpVk65Q,BABYMONSTER - ‘DRIP’ PERFORMANCE VIDEO,2024-11-05 05:00:07+00:00,PT3M10S,190.0,159022770,1184174.0,35128.0,22,People & Blogs,UCqwUnggBBct-AY2lAdI88jQ,BABYMONSTER,5,1,0,0,0.00744656881527092,0.00022089918317986788,120,4,376,500,0.24,0.008,0.752
y6xUDVmtS8E,Minecraft RTX: What if ~85 NOPE NOPE NOPE #Shorts,2024-08-24 12:01:09+00:00,PT8S,8.0,158281726,1688330.0,3375.0,20,Gaming,UC2gJotBXDcyOY-Ny6yDxtZg,Teddy P,12,5,1,1,0.010666613529347033,2.1322739429818956e-05,58,15,427,500,0.116,0.03,0.854
nFYwcndNuOY,aespa 에스파 'Armageddon' MV,2024-05-27 09:06:53+00:00,PT3M33S,213.0,157066238,1844936.0,88753.0,10,Music,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,9,0,0,0,0.011746229001804958,0.000565067331656597,86,12,402,500,0.172,0.024,0.804
bl59qYMPpSE,아픈 이모티콘먹방😵😂Sick emoticon mukbang #funny #shorts,2024-08-21 11:58:00+00:00,PT16S,16.0,153759591,2441079.0,2523.0,22,People & Blogs,UC8TCA15kPzNw9ppRaVZ937w,Byungari 병아리언니 ,11,2,0,1,0.01587594623609528,1.6408732512822568e-05,28,13,459,500,0.056,0.026,0.918
XiGxcMLYQXQ,Jai shiv Sankar #funny #mahadev #shorts,2024-06-29 05:25:23+00:00,PT16S,16.0,149777282,2045466.0,3962.0,22,People & Blogs,UC4IQFAjC_Lypa70JqP5647Q,Sanjoy Biswas official ,5,5,1,1,0.013656717311774959,2.64526098156862e-05,17,0,483,500,0.034,0.0,0.966
i8nW4nr-PI8,Can This Bubble Save My Life? 😱,2024-08-10 17:31:50+00:00,PT55S,55.0,148495536,4013901.0,7824.0,24,Entertainment,UCPuEAY09CtdTzFNWuqVZgDw,Topper Guild,17,5,1,1,0.02703044891531285,5.2688452533684246e-05,33,3,464,500,0.066,0.006,0.928
6x1YPULmmLM,"anyway, happy new year #shortsvideo",2024-12-31 08:45:00+00:00,PT20S,20.0,147861462,,3373.0,22,People & Blogs,UC5fbutHyWw4n6DRro2c51WQ,Fact Inzu,8,1,0,1,,2.2811894014682474e-05,185,2,313,500,0.37,0.004,0.626
reINqlbDHro,"""I Fooled the Bus Driver! 😂🤣 He Thought I Was a Passenger, But I Ran Away With the Cot! 🚌""",2024-08-30 16:05:06+00:00,PT16S,16.0,147169791,1519811.0,1246.0,23,Comedy,UCGopZY0Erm1eMvyA0cNDj0Q,Jameel Sial,16,4,0,1,0.010326922323345557,8.466411425426295e-06,56,0,444,500,0.112,0.0,0.888
9wibcqXzhNQ,पापा की परी 🧚‍♀️ की Kitchen Training 😜🤣 Comedy Shorts #shorts #funny #trending #viral #ytshorts,2024-05-17 12:30:44+00:00,PT56S,56.0,147165649,2703066.0,9426.0,22,People & Blogs,UClyw32fdzLCsqbkfzhdrtXA,Keshav Shashi Vlogs,12,4,0,1,0.018367506400899302,6.40502730362029e-05,80,3,417,500,0.16,0.006,0.834
xGZ-7V6nepY,Kaunsa Gana Bina Music Ke Gaane Se Padti Hai Maar? #shorts #madnessmachayengeindiakohasayenge,2024-06-24 07:30:28+00:00,PT58S,58.0,146777744,5330366.0,7252.0,24,Entertainment,UCpEhnqL0y41EpW2TvWAHD7Q,SET India,7,0,0,1,0.036315900863008226,4.94080355942792e-05,47,4,449,500,0.094,0.008,0.898
xfqBQ2XhBCg,ZICO (지코) ‘SPOT! (feat. JENNIE)’ Official MV,2024-04-26 09:00:08+00:00,PT3M13S,193.0,144894408,2576354.0,136908.0,10,Music,UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,9,4,0,0,0.01778090704508072,0.000944881185476806,166,6,328,500,0.332,0.012,0.656
